Fragen,Antworten 

Unterschied zwischen Ausbilder:in und Ausbildungsbeauftragte:r,"Ausbilder:innen (Team Young Talents): Ansprechpartner:in für allgemeine Themen der Ausbildung. 
Isabel Nickel: Auszubildende IT; 
Luisa Geveler: Duale Studenten; 
Julia Brunsmann: kaufmännische Auszubildende

Ausbildungsbeauftragte:r: Zuständig für abteilungsspezifische bzw. fachspezifische Fragen. Bei internen Angelegenheiten bitte die Ausbildungsbeauftragten vor Ort ansprechen.",,,,"Legende:

Gilt nur für IT- Ausbildungsberufe
Gilt nur für Auszubildende
Gilt nur für DS
Noch in Klärung

Schwarz auf Weiß : gilt für alle
DS= Duale:r Student:in"
Krankheit und Arbeitsverhinderung,"In jedem Fall muss am ersten Tag der Erkrankung eine E-Mail an krankmeldungen_youngtalents@optadata-gruppe.de und den zuständigen Ausbildungsbeauftragten gesendet werden. Die Abmeldung muss bis spätestens 9.00 Uhr schriftlich per E-Mail erfolgen! Dabei ist die voraussichtliche Krankheitsdauer anzugeben und ob ein Arzt aufgesucht wird. Sollte ein Arzt aufgesucht werden, muss die Dauer der Krankmeldung durch den Arzt noch am selben Tag nachgemeldet werden. Zusätzlich muss in der Abteilung erfragt werden, ob es in der Abteilung noch weitere Regelungen zur Krankmeldung gibt. Diese müssen mit dem Ausbildungsbeauftragten abzustimmen. 
Wenn du eine Ausbildung in der IT machst  weicht der E-Mail Verteiler ab. Im ersten Lehrjahr muss die E-Mail der Krankmeldung an krankmeldungen_youngtalents@optadata-gruppe.de und an IT-Ausbildungsbeauftragte@optadata-gruppe.de gesendet werden. Ab dem zweiten Lehrjahr an krankmeldungen_youngtalents@optadata-gruppe.de und an die Mentor:innen. Bitte erfrage hier die Info in deinem Team. 

Spätestens am dritten Krankheitstag ist eine ärztliche Arbeitsunfähigkeitsbescheinigung erforderlich. Bei einer Krankmeldung an einem Montag oder Freitag ist immer eine Arbeitsunfähigkeitsbescheinigung erforderlich.

Diese Regelungen gelten auch für Schultage bzw. den Berufsschulblock. An Schultagen ist die Berufsschule ebenfalls über die Abwesenheit zu informieren und zusätzlich der Abmeldeprozess der Berufsschule einzuhalten.",,,,nächste Zeile springen: Alt + Enter
Adressänderung,Bitte melde dich hierzu direkt bei der Personalverwaltung unter personalverwaltung@optadata-gruppe.de,,,,
Änderung Krankenkasse,Bitte melde dich hierzu direkt bei der Personalverwaltung unter personalverwaltung@optadata-gruppe.de,,,,
Änderung Bankkonto,Bitte melde dich hierzu direkt bei der Personalverwaltung unter personalverwaltung@optadata-gruppe.de,,,,
Krankmeldungen in GFOS pflegen,"Bei einer Krankmeldung ohne AU musst du die Krankmeldung selbstständig in GFOS beantragen, es sei denn du hast an diesem Tag Berufsschule. In diesem Fall übernimmt das Young Talents-Team
Bei Krankmeldung mit AU: Diese Krankmeldung wird vom Young Talents-Team in GFOS eingepflegt.
Bei Krankmeldung an Berufsschultagen: Ob mit oder ohne AU, die Eintragung in GFOS wird vom Young Talents-Team übernommen. ",,,,
Arbeitszeit und Pausen,"Wochenarbeitszeit: 
Auszubildende: 40 Stunden
Duale Studenten: 20 Stunden

Pausen sind wie folgt zu gestalten:

Auszubildende /DS über 18 Jahre müssen bei mehr als 6 Stunden Arbeit mindestens 30 Minuten Pause einhalten. Pausenmodelle: 1x30 Minuten oder 2x15 Minuten.

Auszubildende/DS unter 18 Jahren müssen bei einer täglichen Arbeitszeit von 4,5 Stunden eine  Pausenzeit von mind. 1 Std. einhalten. Pausenmodelle: 2x30 Minuten; 1x30 und 2x15 Minuten; 4x15 Minuten.

Zeiterfassung: Alle Zeiten müssen im GFOS-System korrekt eingetragen werden. Machst du eine Pause, die länger als deine gesetzlich vorgeschriebene Pausenzeit geht, muss ebenfalls in GFOS eingepflegt werden.

Plus- oder Minusstunden sind zu vermeiden. Ausnahmen bis ±5 Stunden müssen genehmigt und die  Ausbilder:in informiert werden. Plus- oder Minusstunden sind zeitnah wieder ab-/bzw.aufzubauen.

Auszubildenden/DS unter 18 Jahren ist die Mehrarbeit untersagt.

 ",,,,
Urlaub,"Urlaub wird gemäß Bundesurlaubsgesetz gewährt und im GFOS-System dokumentiert.

Ausbildung:
Urlaubsanspruch 30 Tage pro Kalenderjahr
Zum Start deiner Ausbildung hast du für verbleibenden Monate im Jahr (Sept.-Dez.): 10 Tage

Achtung, wenn du die Ausbildung in der IT machst, ist dein Urlaub während deiner Zeit in der Lernwerkstatt vorgegeben. Dieser wird rechtzeitig mit eurem zuständigen Ausbildungsbeauftragten Philip Kulik abgestimmt.

Duales Studium:
Urlaubsanspruch (1,5 Tage pro Monat im 20/20-Modell): 
Zum Studienstart stehen dir für die verbleibenden Monate (Sept.-Dez.) 6 Tage zu.
Für jedes weitere Jahr stehen dir 18 Tage zu

Urlaubsanspruch kann sich erhöhen, wenn in Semesterferien Vollzeit gearbeitet wird.

Allgemein:
Heiligabend und Silvester sind halbe Arbeitstage = halber Tag Urlaub. Dieser Urlaub muss selbstständig in GFOS beantragt werden.

Urlaub während der Probezeit ist möglich.

Teilzeitunterricht: Zusammenhängender Urlaub nur in der Ferienzeit oder zwischen den Berufsschultagen möglich. Der Besuch der Berufsschule ist weiterhin verpflichtend. Einmal pro Jahr 10 Tage zusammenhängender Urlaub ist Pflicht.

Blockunterricht: Zusammenhängender Urlaub nur zwischen den Schulblöcken oder in der Ferienzeit möglich. Einmal pro Jahr 10 Tage zusammenhängender Urlaub ist Pflicht.

Urlaubsanträge müssen mindestens zwei Wochen vorher in der Abteilung eingereicht werden. Nach mündlicher Genehmigung durch den/die Ausbildungsbeauftragte:n oder Mentor:in muss der Antrag  in GFOS beantragt werden.

Der Urlaubanspruch eines Kalenderjahrs muss vollständig für das laufende Jahr genommen werden. Resttage können nicht in das neue Jahr übernommen werden, gilt auch für den Januar.
",,,,
Berufsschule,"Der Besuch der Berufsschule ist für Auszubildende verpflichtend.

Berufsschultage werden mit 8 Stunden Arbeitszeit angerechnet (""Schule Vollzeit"").

Wenn du kein Blockunterricht hast, zählt zusätzlich noch folgende Regelung:
Fällt die erste Schulstunde aus, muss vor Schulbeginn im Betrieb gearbeitet werden.
Fehlen Schulstunden vor oder nach dem Unterricht, sind diese nachzuarbeiten.",,,,
Sicherheitsvorschriften,"Entzündliche Materialien dürfen nicht in Treppenhaus, Fluchtwegen  oder sicherheitsrelevanten Räumen gelagert werden.

Fluchtwege sind freizuhalten und Sicherungskästen müssen frei zugänglich sein.

Selbst mitgebrachte elektrische Geräte wie Wasserkocher oder Kaffeemaschinen sind am Arbeitsplatz verboten. Vom Betrieb gestellte elektrische Geräte  (Ventilatoren, Radio, Heizlüfter, etc.) sind nach dem Gebrauch auszuschalten.

Defekte Geräte sind umgehend der Führungskraft/Ausbildungsbeauftragten zu melden.",,,,
Feuer- und Rauchverbot,"Es besteht ein absolutes Rauchverbot in allen Gebäuden der opta data Gruppe. Das gilt für alle Arten des Rauchens!

Rauchen ist nur in ausgewiesenen Raucherbereichen erlaubt.

Offenes Feuer, z. B. Kerzen, ist nicht gestattet.",,,,
