Fragen,Antworten
Fragen,Antworten 
Unterschied zwischen Ausbilder:in und Ausbildungsbeauftragte:r,"Ausbilder:in (Team Young Talents): Ansprechpartner:in für allgemeine Themen der Ausbildung.

Ausbildungsbeauftragte:r: Zuständig für abteilungsspezifische Fragen. Bei internen Angelegenheiten bitte die Ausbildungsbeauftragten vor Ort ansprechen."
Krankheit und Arbeitsverhinderung,"Krankmeldungen sind bis 09:00 Uhr telefonisch beim Ausbildungsbeauftragten zu melden.

Zudem muss eine E-Mail an krankmeldungen_youngtalents@optadata-gruppe.de gesendet werden.

Am dritten Krankheitstag ist eine Arbeitsunfähigkeitsbescheinigung erforderlich.

Diese Regelungen gelten auch für Schultage."
Arbeitszeit und Pausen,"Wochenarbeitszeit: 40 Stunden. Pausen sind wie folgt zu gestalten:

Bei mehr als 6 Stunden Arbeit mindestens 30 Minuten Pause.

Pausenmodelle: 1x30 Minuten oder 2x15 Minuten.

Zeiterfassung: Alle Zeiten müssen im GFOS-System korrekt eingetragen werden.

Plus- oder Minusstunden sind zu vermeiden. Ausnahmen bis ±5 Stunden müssen genehmigt werden."
Urlaub,"Urlaub wird gemäß Bundesurlaubsgesetz gewährt und im GFOS-System dokumentiert.

Zusammenhängender Urlaub während der Schulferien oder Blockunterricht ist Pflicht.

Urlaubsanträge müssen mindestens zwei Wochen vorher eingereicht werden.
"
Berufsschule,"
Berufsschultage werden mit 8 Stunden Arbeitszeit angerechnet (""Schule Vollzeit"").

Fällt die erste Schulstunde aus, muss vor Schulbeginn im Betrieb gearbeitet werden.

Fehlen Schulstunden vor oder nach dem Unterricht, sind diese nachzuarbeiten."
Sicherheitsvorschriften,"Entzündliche Materialien dürfen nicht in Fluchtwege oder sicherheitsrelevante Räume gebracht werden.

Elektrische Geräte wie Wasserkocher oder Kaffeemaschinen sind am Arbeitsplatz verboten.

Defekte Geräte sind umgehend der Führungskraft zu melden."
Feuer- und Rauchverbot,"Es besteht ein absolutes Rauchverbot in allen Gebäuden der opta data Gruppe.

Rauchen ist nur in ausgewiesenen Raucherbereichen erlaubt.

Offenes Feuer, z. B. Kerzen, ist nicht gestattet."
Private Nutzung von Telefonen,"Private Mobiltelefone dürfen nur in lautlosem Zustand genutzt werden.

Nutzung ist ausschließlich in Pausenzeiten gestattet.

Dienstliche Mobiltelefone dürfen nur für berufliche Zwecke verwendet werden."
Sonderurlaub,"Sonderurlaub wird bei bestimmten Ereignissen gewährt, z. B.:

Schriftliche Abschlussprüfung: 1 Tag.

Eheschließung: 2 Tage.

Sterbefall eines Angehörigen 1. Grades: 5 Tage."
Ausbildungsnachweise,"Ausbildungsnachweise werden im System ""Magellan"" geführt.

Sie müssen ordnungsgemäß und lückenlos eingetragen werden.

Ausbildungsnachweise sind Bestandteil der Arbeitszeit."
Beurteilungen,"Regelmäßige Beurteilungen finden statt:

Zunächst in der Lernwerkstatt.

Später in den Rundlaufstationen.

Beurteilungen werden im ""Magellan""-System erfasst."
Ansprechpartner,"Ausbildungsbeauftragte:

Philip Kulik (IT-Trainer)

Ambra Stachow (Agil Coach)

Weitere Ansprechpartner gemäß LEGO-Plan.

Organisatorische Ansprechpartner:

Leonie Tissen (Referentin)

Isabel Nickel (Referentin)"
Ende der Ausbildung,"Laut SGB III § 38 bist du verpflichtet, dich spätestens drei Monate vor Ausbildungsende bei der Agentur für Arbeit arbeitssuchend zu melden."
Lego Plan: ,"
Berufsschulblöcke:

Block 1: 06.09.2024 – 09.09.2024
Block 2: 28.10.2024 – 04.11.2024
Block 3: 09.12.2024 – 16.12.2024
Block 4: 03.02.2025 – 10.02.2025
Block 5: 17.03.2025 – 24.03.2025
Block 6: 12.05.2025 – 19.05.2025
Block 7: 23.06.2025 – 30.06.2025

Urlaub Dezmber
24.12.2024 – 02.01.2025

CCNA - Block
11.11.2024 – 15.11.2024


Powershell - Block
27.01.2025 – 31.01.2025


Produktion Rundlauf
17.02.2025 – 25.02.2025

Workshops und Bemerkungen
Sprechtag HNBK: 19.02.2025
Präsentation Produktionsrundlauf: 25.02.2025


Grundlagen Programmierung Blöcke:

Block 1: 17.09.2024 – 23.09.2024
Block 2: 30.09.2024
Block 3: 18.11.2024 – 25.11.2024
Block 4: 02.12.2024
Block 5: 26.02.2025 – 25.08.2025 (ein durchgehender Block)




Feiertage, die im LEGO-Plan gelistet sind:

03.10.2024: Tag der Deutschen Einheit
04.10.2024: Brückentag (möglicher freier Tag)
01.11.2024: Allerheiligen
23.12.2024 – 27.12.2024: Weihnachten
30.12.2024 – 01.01.2025: Silvester und Neujahr
02.01.2025 – 03.01.2025: Brückentage
21.04.2025: Ostermontag
01.05.2025: Tag der Arbeit
29.05.2025: Christi Himmelfahrt
09.06.2025: Pfingstmontag
19.06.2025: Fronleichnam"
Wie schreibe ich eine richtige Abwesenheitsnotiz: ,"Für Intern eine Vorlage: 



Liebe Kollegin, lieber Kollege,


vielen Dank für deine Nachricht.


Ich bin bis einschließlich 17. August 2023 nicht im Haus. Meine E-Mails werden nicht automatisch weitergeleitet.



Wende dich bei Fragen bitte an Saskia Hoffmeister (15-142, m.mustermann@optadata-gruppe.de).



Ab dem 18. August 2023 stehe ich dir wieder wie gewohnt zur Verfügung.

Diese Abwesenheitsnachricht wird innerhalb von 24 Stunden einmal gesendet.

Besten Dank.

Mit freundlichen Grüßen 

 

i. A. Max Mustermann

 

- Ausbilderin - 

Bereich Personal & Kommunikation 

 

opta data Stiftung & Co. KG 

Berthold-Beitz-Boulevard 514 

45141 Essen 

 

Telefon 0201 1234-567

l.Mustermann@optadata-gruppe.de


-------

Für Extern eine Vorlage: 

Sehr geehrte Damen und Herren,

vielen Dank für Ihre Nachricht.

Ich bin bis einschließlich 17. August 2023 nicht im Haus. Meine E-Mails werden nicht automatisch weitergeleitet.



Wenden Sie sich bei Fragen bitte an Saskia Hoffmeister (0201 3196 142, l.Mustermann@optadata-gruppe.de)



Ab dem 18. August 2023 stehe ich Ihnen wieder wie gewohnt zur Verfügung.

Diese Abwesenheitsnachricht wird Ihnen innerhalb von 24 Stunden einmal gesendet.

Besten Dank.

Mit freundlichen Grüßen 

 

i. A. Max Mustermann

 

- Ausbilderin - 

Bereich Personal & Kommunikation 

 

opta data Stiftung & Co. KG 

Berthold-Beitz-Boulevard 514 

45141 Essen 

 
Telefon 0201 1234-567

l.Mustermann@optadata-gruppe.de"
"Krankmeldung, Wie melde ich mich Krank ? ","Krankmeldung ohne Arbeitsunfähigkeitsbescheinigung:

Guten Morgen zusammen,



hiermit möchte ich euch darüber informieren, dass ich heute am XX.XX.2023 aus gesundheitlichen Gründen nicht auf der Arbeit/der Berufsschule erscheinen kann. Ich werde keinen Arzt aufsuchen.



Sollte sich der Zustand nicht verbessern, werde ich mich erneut bei euch melden.



Viele Grüße,

X

----

Krankmeldung mit Arbeitsunfähigkeitsbescheinigung:

Guten Morgen zusammen,



hiermit möchte ich euch darüber informieren, dass ich vom Arzt für folgenden Zeitraum arbeitsunfähig geschrieben wurde:



Beginn der Arbeitsunfähigkeit: XX.XX.2023



Ende der Arbeitsunfähigkeit: XX.XX.2023



Viele Grüße,"
Erläuterungen zum Urlaubsanspruch​,"Urlaubsanspruch:

2023: 10 Tage

2024: 30 Tage

2025: 30 Tage

2026: 20 Tage



Der Urlaubswunsch wird mit den Ausbildungsbeauftragten abgestimmt und in gfos eingetragen

Urlaub während der Probezeit ist möglich, muss beim Abbruch der Ausbildung zurückgezahlt werden

Heiligabend und Silvester sind halbe Arbeitstage = halber Tag Urlaub

Antrag bei Ausgleich Überstunden ist erst ab vier Stunden notwendig



Sonderurlaub:

Umzug: 1 Tag (Änderung Adresse in Magellan hinterlegen, Bescheinigung an die Personalverwaltung schicken, IHK über neue Adresse informieren)

Hochzeit: 2 Tage bei eigener Hochzeit, 1 Tag bei Familie 1. Grades

Todesfall: 5 Tage bei Familie 1. Grades"
